run,tag,step,wall_time,value,source_type,event_file
counterfactual_gradalign_scalarcf_middle_cfw1e-4,cf_mid_masked_ardm_loss,200,1781251634.751875,3.179094076156616,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,cf_mid_weight,200,1781251634.748231,9.999998292187229e-05,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_mid_fake_logits,200,1781251634.728699,-1.719618320465088,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_mid_fake_logits_std,200,1781251634.735481,1.2650864124298096,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_mid_grad_norm,200,1781251634.736153,15.33290958404541,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_mid_logit_abs_mean,200,1781251634.754369,1.8601293563842773,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_mid_loss,200,1781251634.724842,0.5277076363563538,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_mid_real_logits,200,1781251634.726942,1.6830365657806396,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_mid_real_logits_std,200,1781251634.733684,1.2327245473861694,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
counterfactual_gradalign_scalarcf_middle_cfw1e-4,disc_train_factor,200,1781251634.738351,1.0,tensor,/home/jordan/runs/ardm/counterfactual_gradalign_scalarcf_middle_cfw1e-4/events.out.tfevents.1781233049.DESKTOP-3CMUNGL.2396.0.v2
