run,adaptive_policy_effective_buckets,adaptive_policy_effective_timesteps,adaptive_policy_entropy,adaptive_policy_max_over_uniform,adaptive_policy_max_prob,adaptive_policy_min_over_uniform,adaptive_policy_min_prob,ardm_grad_norm_raw,ardm_loss,aux_alignment_factor,aux_grad_cosine,aux_grad_norm_raw,aux_loss,cf_mid_delta,cf_mid_delta_baseline,cf_mid_drop_fraction,cf_mid_dropped_energy,cf_mid_harmful_weight_mean,cf_mid_loss,cf_mid_masked_ardm_loss,cf_mid_useful_weight_mean,cf_mid_utility_abs_mean,cf_mid_utility_max,cf_mid_utility_min,cf_mid_utility_pos_frac,cf_mid_weight,constrained_mask_buckets,constrained_observed_mass_l1,curriculum_min_observed_fraction,disc_end_fake_logits,disc_end_fake_logits_std,disc_end_grad_norm,disc_end_logit_abs_mean,disc_end_loss,disc_end_real_logits,disc_end_real_logits_std,disc_mid_fake_logits,disc_mid_fake_logits_std,disc_mid_grad_norm,disc_mid_logit_abs_mean,disc_mid_loss,disc_mid_real_logits,disc_mid_real_logits_std,disc_train_factor,disc_weight_end,disc_weight_mid,end_feature_cosine,eval_fid,eval_is_mean,eval_is_std,eval_nelbo,eval_nelbo_policy_50,eval_nelbo_policy_naive,eval_ssim,fake_end_feature_mean,fake_end_feature_norm,fake_mid_feature_mean,fake_mid_feature_norm,gen_end_loss,gen_mid_loss,grad_norm,guidance_progress,mask_fraction_observed,mid_feature_cosine,real_end_feature_mean,real_end_feature_norm,real_mid_feature_mean,real_mid_feature_norm,reason_end_loss,reason_mid_loss,reason_weight_end,reason_weight_mid,sampled_observed_fraction,sampled_observed_fraction_std,sampled_t_mean,sampled_t_std,stratified_t_enabled,train_ce,train_loss,train_nelbo,train_nelbo_steps_100,train_nelbo_steps_50
baseline_ardm_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.65853881835938,2.795933485031128,0.6737046241760254,3.1349196434020996,3.1607508659362793,3.13905668258667,0.036223262548446655,,,,,,,5.3882951736450195,,,,,,,,,,,,,,,,,0.4478376507759094,3.1685409545898438,3.168093204498291,3.1800594329833984,3.1943557262420654
counterfactual_gradalign_scalarcf_middle_cfw1e-4,,,,,,,,5.300374507904053,3.1789612770080566,0.0018709750147536397,0.00011325156810926273,1.0074051033370779e-06,-1.3313227853473109e-08,0.000132802888401784,,0.25078749656677246,0.9993070363998413,,-0.00013313228555489331,3.179094076156616,,,,,,9.999998292187229e-05,,,,,,,,,,,-1.719618320465088,1.2650864124298096,15.33290958404541,1.8601293563842773,0.5277076363563538,1.6830365657806396,1.2327245473861694,1.0,,0.0,,207.69224548339844,2.7657856941223145,0.48870521783828735,3.1337313652038574,3.1625678539276123,3.152517080307007,0.03847023844718933,,,-0.05036366358399391,85.47557830810547,,1.719618320465088,5.300374507904053,1.0,0.49961182475090027,0.9354189038276672,,,0.03749845549464226,82.76233673095703,,0.0645810142159462,,0.0,,,,,,0.44886523485183716,3.1789612770080566,3.1785120964050293,3.1790196895599365,3.193340539932251
counterfactual_gradalign_scalarcf_middle_cfw2e-3,,,,,,,,5.085957050323486,3.159409999847412,0.015327016822993755,0.0007476519676856697,1.846658278736868e-06,-1.5060849989367853e-07,7.576095231343061e-05,,0.2506699860095978,0.9989596605300903,,-7.53042331780307e-05,3.1594860553741455,,,,,,0.0020000000949949026,,,,,,,,,,,-1.6602065563201904,1.0347075462341309,15.054030418395996,1.7868353128433228,0.4434232711791992,1.6319022178649902,1.0190151929855347,1.0,,0.0,,214.93109130859375,2.5631520748138428,0.4081941246986389,3.140141248703003,3.175135850906372,3.1492273807525635,0.04119081422686577,,,0.2612951695919037,87.58016204833984,,1.6602065563201904,5.085957050323486,1.0,0.5001699328422546,0.9361143112182617,,,0.28234100341796875,84.99443817138672,,0.06388569623231888,,0.0,,,,,,0.4460567533969879,3.159409999847412,3.158964157104492,3.1829707622528076,3.197237491607666
counterfactual_gradalign_scalarcf_middle_cfw5e-4,,,,,,,,5.593571662902832,3.166980028152466,0.007766444236040115,0.00042153731919825077,1.135907950811088e-06,-7.478460162246847e-08,0.000147880899021402,,0.24912500381469727,0.9990526437759399,,-0.0001495691976742819,3.167128086090088,,,,,,0.0005000000237487257,,,,,,,,,,,-1.3451213836669922,0.8400524854660034,15.753162384033203,1.5397539138793945,0.4632992148399353,1.4278334379196167,0.9031667113304138,1.0,,0.0,,204.85797119140625,2.791078567504883,0.5873835682868958,3.1298370361328125,3.1661581993103027,3.126786470413208,0.040894947946071625,,,0.002003204310312867,90.38446044921875,,1.3451213836669922,5.593571662902832,1.0,0.4988152086734772,0.9368128180503845,,,-0.03495310992002487,87.85089111328125,,0.06318721920251846,,0.0,,,,,,0.4473954737186432,3.166980028152466,3.166532516479492,3.1744771003723145,3.188837766647339
counterfactual_scalarcf_middle_cfw1e-4,,,,,,,,0.0,3.178361654281616,1.0,0.0,0.0,-9.136337020265728e-09,9.137661254499108e-05,,0.24912500381469727,1.000860571861267,,-9.136337030213326e-05,3.178452730178833,,,,,,9.999998292187229e-05,,,,,,,,,,,-1.7415709495544434,1.302411675453186,14.302682876586914,1.9333432912826538,0.5452038049697876,1.795076608657837,1.3577412366867065,1.0,,0.0,,202.67930603027344,2.947298765182495,0.5638350248336792,3.141242265701294,3.1738038063049316,3.1375012397766113,0.029033778235316277,,,0.021794458851218224,91.30491638183594,,1.7415709495544434,4.6433281898498535,1.0,0.4988152086734772,0.9371160268783569,,,-0.00800651591271162,88.85043334960938,,0.06288397312164307,,0.0,,,,,,0.44857272505760193,3.178361654281616,3.177912712097168,3.1855711936950684,3.1997196674346924
counterfactual_scalarcf_middle_cfw2e-3,,,,,,,,0.0,3.1726887226104736,1.0,0.0,0.0,-3.2712165420889505e-07,0.00016425331705249846,,0.24912500381469727,1.0005475282669067,,-0.0001635608059586957,3.1728527545928955,,,,,,0.0020000000949949026,,,,,,,,,,,-1.49832284450531,0.9874158501625061,16.04877281188965,1.7029128074645996,0.4852663278579712,1.5868251323699951,1.040405511856079,1.0,,0.0,,210.33995056152344,2.870393991470337,0.43204399943351746,3.137937545776367,3.1730246543884277,3.134300470352173,0.03647284954786301,,,0.1837838739156723,92.22852325439453,,1.49832284450531,5.007984161376953,1.0,0.4988152086734772,0.9379756450653076,,,0.14772775769233704,89.63964080810547,,0.062024399638175964,,0.0,,,,,,0.4480593800544739,3.1726880073547363,3.172240734100342,3.1824376583099365,3.196600914001465
counterfactual_scalarcf_middle_cfw5e-4,,,,,,,,0.0,3.1683719158172607,1.0,0.0,0.0,-7.102205756837066e-08,0.00014131855277810246,,0.24912500381469727,0.9989184141159058,,-0.00014204411127138883,3.168513059616089,,,,,,0.0005000000237487257,,,,,,,,,,,-1.4734221696853638,0.877529501914978,15.397577285766602,1.686284065246582,0.43446582555770874,1.6150434017181396,0.9836940765380859,1.0,,0.0,,208.81124877929688,2.7694485187530518,0.38822615146636963,3.1357758045196533,3.166828155517578,3.1321239471435547,0.046553242951631546,,,-0.1419435292482376,95.21143341064453,,1.4734221696853638,4.8836870193481445,1.0,0.4988152086734772,0.9394432306289673,,,-0.17098362743854523,93.54837799072266,,0.06055677682161331,,0.0,,,,,,0.4479551613330841,3.1683719158172607,3.16792368888855,3.179176092147827,3.1934590339660645
counterfactual_utilitycf_middle_cfw1e-4,,,,,,,,0.0,3.1686477661132812,1.0,0.0,0.0,-2.4830289930832805e-06,4.280075154383667e-05,4.049510971526615e-05,0.12531499564647675,0.9955011010169983,0.4706273376941681,-0.024830292910337448,3.1686906814575195,0.4718610942363739,9.683866665000096e-05,0.0003432811063248664,-0.0003166769747622311,0.50621497631073,9.999998292187229e-05,,,,,,,,,,,-1.5702414512634277,1.0394617319107056,14.756444931030273,1.7333346605300903,0.4946712553501129,1.5784367322921753,1.0429964065551758,1.0,,0.0,,203.983642578125,2.817131757736206,0.4380500018596649,3.135981559753418,3.1702260971069336,3.13278865814209,0.045802220702171326,,,-0.04633471369743347,93.2854995727539,,1.5702414512634277,4.735149383544922,1.0,0.4988152086734772,0.9454248547554016,,,-0.09770964831113815,91.21431732177734,,0.05457509681582451,,0.0,,,,,,0.44755464792251587,3.168644905090332,3.1682000160217285,3.1812849044799805,3.1953787803649902
counterfactual_utilitycf_middle_cfw2e-3,,,,,,,,0.0,3.1582462787628174,1.0,0.0,0.0,-0.0003632281441241503,-1.0093917808262631e-05,-1.0052006473415531e-05,0.12489499896764755,1.0622551441192627,0.4661718010902405,-0.18161405622959137,3.158236265182495,0.4657147526741028,3.283364640083164e-05,0.0001011315907817334,-0.00012385206355247647,0.5133424997329712,0.0020000000949949026,,,,,,,,,,,-1.0275007486343384,0.013377770781517029,0.04768577218055725,1.0210999250411987,0.001193852280266583,1.0146435499191284,0.016513215377926826,1.0,,0.0,,201.89991760253906,2.9016785621643066,0.3845057487487793,3.129310131072998,3.1689460277557373,3.1368141174316406,0.03534584492444992,,,-0.05594579130411148,377.4796142578125,,1.0275007486343384,5.432960510253906,1.0,0.5004657506942749,0.2643696963787079,,,-0.4244682490825653,218.1334228515625,,0.7356303334236145,,0.0,,,,,,0.4451356530189514,3.1578831672668457,3.1578011512756348,3.1809139251708984,3.1979105472564697
counterfactual_utilitycf_middle_cfw5e-4,,,,,,,,0.0,3.1761436462402344,1.0,0.0,0.0,-2.3915386009321082e-06,3.015579204657115e-05,3.1709241739008576e-05,0.12531499564647675,0.9845204949378967,0.4738958477973938,-0.004783105570822954,3.176173686981201,0.4741628170013428,0.00011025935964426026,0.0003785132721532136,-0.00035169775946997106,0.5025749802589417,0.0005000000237487257,,,,,,,,,,,-2.049762725830078,0.7344738841056824,30.56839942932129,2.145603656768799,0.17471492290496826,2.1315701007843018,0.7581425905227661,1.0,,0.0,,210.41925048828125,2.8016128540039062,0.4153001010417938,3.1391053199768066,3.1746227741241455,3.1354851722717285,0.036897316575050354,,,-2.2083096504211426,320.18084716796875,,2.049762725830078,5.501413822174072,1.0,0.4988152086734772,0.9899284243583679,,,-2.274052143096924,326.41119384765625,,0.010071625001728535,,0.0,,,,,,0.44862180948257446,3.1761412620544434,3.1756949424743652,3.1854848861694336,3.1996564865112305
