run,family,train_nelbo,eval_nelbo,train_loss,train_ce,grad_norm,eval_fid,eval_is_mean,eval_is_std,eval_ssim
baseline_ardm_base,baseline,3.168093204498291,3.1349196434021,3.168540954589844,0.4478376507759094,5.38829517364502,204.65853881835935,2.795933485031128,0.6737046241760254,0.0362232625484466
guidance_basicdisc_middle_dw1e-4,basic_discriminator,3.1704609394073486,3.1390621662139893,3.1708905696868896,0.447912335395813,5.099086761474609,207.4723052978516,2.504384994506836,0.3529201447963714,0.0396657027304172
guidance_basicdisc_middle_dw5e-4,basic_discriminator,3.907154321670532,3.9031264781951904,3.907340049743652,0.5431069731712341,157.0188751220703,285.5714416503906,1.5967919826507568,0.1442568898200988,0.0288242138922214
guidance_basicdisc_middle_dw2e-3,basic_discriminator,7.878187656402588,7.882936954498291,-1753.529541015625,0.9869429469108582,70641624.0,446.3519592285156,1.2020992040634155,0.0434812605381011,0.0129301352426409
guidance_basicdisc_end_dw1e-4,basic_discriminator,3.16546630859375,3.1273484230041504,3.166738986968994,0.4491081237792969,5.743215084075928,199.59153747558597,2.766958951950073,0.4148130714893341,0.0289173573255538
guidance_basicdisc_end_dw5e-4,basic_discriminator,3.175922393798828,3.1359963417053223,3.179335594177246,0.4496696591377258,5.031097888946533,214.60546875,2.7784831523895264,0.4291925728321075,0.0355820059776306
guidance_basicdisc_end_dw2e-3,basic_discriminator,3.205915927886963,3.1545090675354004,3.2117927074432373,0.4537079632282257,5.6345624923706055,213.2813415527344,2.6568052768707275,0.2683773040771484,0.0383939184248447
guidance_basicdisc_middle_end_dw1e-4,basic_discriminator,3.1742444038391118,3.140489339828491,3.1756463050842285,0.4495729804039001,5.328447341918945,206.8856658935547,2.821125268936157,0.2701204419136047,0.0357726626098156
guidance_basicdisc_middle_end_dw5e-4,basic_discriminator,3.81948184967041,3.788547992706299,3.8204751014709473,0.529950737953186,8.940166473388672,263.3866577148437,1.912110924720764,0.1160871833562851,0.0329578407108783
guidance_basicdisc_middle_end_dw2e-3,basic_discriminator,4.363123893737793,4.358792304992676,4.349817276000977,0.5956621766090393,392.5125122070313,313.5924987792969,1.7519129514694214,0.3024921119213104,0.0257414914667606
