run,family,train_nelbo,eval_nelbo,train_loss,train_ce,grad_norm,eval_fid,eval_is_mean,eval_is_std,eval_ssim
guidance_advanceddisc_middle_dw1e-4,advanced_reasoning,3.167739152908325,3.1349422931671143,3.1683478355407715,0.44782155752182,5.94456672668457,201.24449157714844,2.809645891189575,0.3262766599655151,0.0355666950345039
guidance_reasoning_middle_maskmatched_rw1e-4,advanced_reasoning,3.158611297607422,3.128994941711426,3.15906310081482,0.4462396800518036,5.655471324920654,212.9492645263672,2.820858955383301,0.2739172279834747,0.032135285437107
guidance_reasoning_middle_samemaskfull_rw1e-4,advanced_reasoning,3.175745010375977,3.1362438201904297,3.176208972930908,0.4483234286308288,5.309967041015625,204.934814453125,2.832208633422852,0.4186455309391022,0.0292347967624664
guidance_advanceddisc_middle_dw5e-4,advanced_reasoning,3.1718075275421143,3.137701272964477,3.173504114151001,0.4479615688323974,5.154497623443604,213.8501434326172,2.8194379806518555,0.3975412845611572,0.0430099181830883
guidance_reasoning_middle_maskmatched_rw5e-4,advanced_reasoning,3.1628077030181885,3.132400751113892,3.1632750034332275,0.4471360146999359,5.161392688751221,209.90982055664065,2.910430908203125,0.3236502408981323,0.040112592279911
guidance_reasoning_middle_samemaskfull_rw5e-4,advanced_reasoning,3.1727969646453857,3.1375911235809326,3.173298120498657,0.4487103819847107,5.8549675941467285,209.7824249267578,2.6465933322906494,0.3600349128246307,0.0350867696106433
guidance_advanceddisc_middle_dw2e-3,advanced_reasoning,3.172268867492676,3.136645793914795,3.1778311729431152,0.4483806788921356,5.291513919830322,208.2973175048828,2.6183409690856934,0.2449681460857391,0.0414954423904418
guidance_reasoning_middle_maskmatched_rw2e-3,advanced_reasoning,3.164234399795532,3.120337009429932,3.164736270904541,0.4463984370231628,5.071532726287842,209.52572631835935,2.4848058223724365,0.4698982834815979,0.0308119021356105
guidance_reasoning_middle_samemaskfull_rw2e-3,advanced_reasoning,3.1719510555267334,3.1374518871307373,3.172478199005127,0.448041558265686,5.218621253967285,203.92745971679688,2.5306549072265625,0.2309414893388748,0.0388387888669967
guidance_advanceddisc_middle_end_dw1e-4,advanced_reasoning,3.172605514526367,3.1353909969329834,3.173262596130371,0.4479677379131317,5.285333633422852,211.420166015625,2.517384529113769,0.6379817128181458,0.031738918274641
guidance_reasoning_middle_end_maskmatched_rw1e-4,advanced_reasoning,3.164442300796509,3.131523370742798,3.164895534515381,0.4478339850902557,5.776966094970703,206.78614807128903,2.6932895183563232,0.3906958997249603,0.0397515855729579
guidance_reasoning_middle_end_samemaskfull_rw1e-4,advanced_reasoning,3.22571063041687,3.1887195110321045,3.2262115478515625,0.4541907906532287,5.753337383270264,211.72439575195312,2.866610288619995,0.4537249207496643,0.0351218655705452
guidance_advanceddisc_middle_end_dw5e-4,advanced_reasoning,3.17470932006836,3.140221357345581,3.1763112545013428,0.448807030916214,4.771575450897217,205.15066528320312,2.568821430206299,0.1908438503742218,0.0341873131692409
guidance_reasoning_middle_end_maskmatched_rw5e-4,advanced_reasoning,3.1661949157714844,3.133005142211914,3.166664123535156,0.4474788308143616,5.154421329498291,207.41763305664065,2.7446413040161133,0.2443434298038482,0.0341075286269187
guidance_reasoning_middle_end_samemaskfull_rw5e-4,advanced_reasoning,3.154604434967041,3.132702350616455,3.155226230621338,0.4455380439758301,5.440310001373291,206.01353454589844,2.9013400077819824,0.403216153383255,0.0413277149200439
guidance_advanceddisc_middle_end_dw2e-3,advanced_reasoning,3.173837900161743,3.139597654342652,3.1796774864196777,0.4484639167785644,5.553959846496582,209.6244354248047,2.7346386909484863,0.3167885243892669,0.0400236621499061
guidance_reasoning_middle_end_maskmatched_rw2e-3,advanced_reasoning,3.163075685501098,3.131470203399658,3.1635894775390625,0.4472602605819702,5.496492385864258,205.4232177734375,2.834358692169189,0.4852428734302521,0.0426145046949386
guidance_reasoning_middle_end_samemaskfull_rw2e-3,advanced_reasoning,3.162642478942871,3.122208595275879,3.163735628128052,0.4460378885269165,5.813085079193115,205.89096069335935,2.745489358901977,0.4114347398281097,0.0419840104877948
