run,family,train_nelbo,eval_nelbo,train_loss,train_ce,grad_norm,eval_fid,eval_is_mean,eval_is_std,eval_ssim
scheduler_adaptive_alpha0.5_mix0.25,scheduling,3.1629743576049805,3.1337852478027344,3.1634774208068848,0.5032418966293335,4.935993671417236,207.49790954589844,2.785186529159546,0.2519404590129852,0.0300474967807531
scheduler_constrained_adaptive_alpha0.5_mix0.25,scheduling,3.171436548233032,3.131269216537476,3.171912431716919,0.4759430587291717,5.677209854125977,205.44976806640625,2.7198681831359863,0.5765613317489624,0.0362829677760601
scheduler_curriculum_obs0.50_to_uniform,scheduling,3.1563363075256348,3.126053094863892,3.1567838191986084,0.4472864866256714,4.592092037200928,212.1916961669922,2.767460823059082,0.2729921042919159,0.0370565056800842
scheduler_adaptive_alpha0.75_mix0.15,scheduling,3.1617932319641118,3.1343812942504883,3.16233491897583,0.5414366126060486,5.030496120452881,210.1409149169922,2.589447259902954,0.3363421857357025,0.0227070581167936
scheduler_constrained_adaptive_alpha0.75_mix0.15,scheduling,3.1602399349212646,3.126757860183716,3.160730600357056,0.4908375740051269,4.992485523223877,207.29351806640625,2.6994893550872803,0.4618041515350342,0.0422123111784458
scheduler_curriculum_obs0.75_to_uniform,scheduling,3.1767048835754395,3.1377487182617188,3.1771557331085205,0.4506454765796661,4.827899932861328,205.32310485839844,2.6456918716430664,0.2912786900997162,0.0214873794466257
scheduler_adaptive_alpha1.0_mix0.10,scheduling,3.172423839569092,3.13929295539856,3.173004627227783,0.5808194279670715,5.061663627624512,204.3573303222656,2.9671990871429443,0.3398760259151459,0.0260754786431789
scheduler_constrained_adaptive_alpha1.0_mix0.10,scheduling,3.156810522079468,3.1268303394317627,3.157315731048584,0.5048030614852905,4.852554798126221,206.07899475097656,2.949559211730957,0.3764124512672424,0.0393026247620582
scheduler_curriculum_obs0.90_to_uniform,scheduling,3.1739208698272705,3.144619464874268,3.1743719577789307,0.4504183232784271,5.162998676300049,209.64588928222656,2.777395248413086,0.3014954626560211,0.0315160043537616
scheduler_stratified_timestep,scheduling,3.172607421875,3.143706798553467,3.1730549335479736,0.4478350877761841,5.369786739349365,202.84359741210935,2.696465253829956,0.4118343293666839,0.0415297262370586
